Timestamp,Gender ?,Your City,"On average, how many hours per day do you spend on social media?",What is your age?,Current Occuption,Which social media platform do you use the most?,What type of content do you consume most? (Select all that apply),How many hours of sleep do you get on average per night?,Do you use social media right before sleeping?  ,Do you check social media immediately after waking up?  ,"When you receive a notification while studying, what is your immediate reaction?",  What is the specific thing about social media that causes you the most stress or anxiety?  ,How often do you find yourself comparing your life to others?,"Do you feel ""FOMO"" (Fear of Missing Out) when you are offline?","In a few words, describe how you feel when you see your friends having fun without you on social media.",With how many specific people do you interact (DM/Tag) on a daily basis?,How would you rate your current daily stress level?,What is your current CGPA range? ,  Why do you usually open social media when you are supposed to be studying?  ,  Do you use social media to escape or forget about your real-life problems?  ,  How often do you get into arguments or heated discussions in comment sections?  ,  How does it affect your mood if a post you made gets fewer likes than you expected?  ,"Have you ever experienced any negative events on social media? (cyberbullying, harassment, hate comments, etc.)  ",Do you have any medically approved mental disorder?
16/12/2025 22:40:48,Male,peshawar,4.0,18-30,Student,Instagram,"Entertainment/Memes, News/Politics, Educational/Informative, Friends/Family updates",7-10,Always,Always,Check it after a few minutes,Almost everything that is non-sense,2.0,2.0,"A mix of left out, sad, and a little lonely, sometimes with self-doubt.",4-10 people,1.0,2.5–3.0,"quick break or distraction,",Yes,2.0,It doesn't matter,No,No
16/12/2025 22:48:44,Female,Karachi ,8.0,18-30,Unemployed,Whatsapp,Friends/Family updates,5-7,Often,Often,Check it immediately,Bad news,3.0,2.0,Not good ,0 (I just scroll),2.0,3.1–3.5,Na,Yes,4.0,I Feel Bad,Yes,No
16/12/2025 22:57:13,Male,Peshawar ,3.0,12-18,Student,Instagram,Friends/Family updates,1-5 Hours,Sometimes,Always,Ignore it completely,Social media  leads  to social  comparison,5.0,4.0,Friend ,1-3 people,3.0,2.5–3.0,No,Yes,3.0,I Feel Bad,Yes,Yes
16/12/2025 23:01:12,Male,Peshawar,7.0,18-30,Student,Instagram,"Entertainment/Memes, News/Politics",5-7,Often,Never,Check it immediately,"Negative and disturbing content on social media, like videos of accidents or murders, stresses me a lot. Seeing such things unexpectedly creates fear, anxiety, and affects my peace of mind.",2.0,1.0,"A mix of loneliness, sadness, and a quiet sense of being left out.",More than 10 people,4.0,3.1–3.5,"I usually open social media to take a quick mental break, but it often turns into a distraction that pulls my focus away from studying.",No,4.0,It doesn't matter,No,No
16/12/2025 23:01:45,Male,Chitral,6.0,18-30,Unemployed,Instagram,Entertainment/Memes,5-7,Always,Always,Get annoyed but check it,Negative comments ,2.0,1.0,Best movement of my life,1-3 people,2.0,3.6–4.0,When ever bored ,Yes,1.0,It doesn't matter,No,No
16/12/2025 23:03:13,Female,Islamabad ,7.0,18-30,Unemployed,Instagram,Entertainment/Memes,7-10,Always,Always,Get annoyed but check it,Comparison ,5.0,3.0,Strong desire to have fun with them.,1-3 people,3.0,3.1–3.5,Addiction ,No,1.0,It doesn't matter,No,No
16/12/2025 23:08:02,Female,Gilgit baltistan ,6.0,18-30,Student,Instagram,"Entertainment/Memes, Educational/Informative",5-7,Always,Rarely,Check it immediately,Like suicide cases aur harassments etc ,1.0,3.0,Sometimes happy or sometimes I feel bad ,0 (I just scroll),5.0,3.1–3.5, May be distraction. Aur I think we're using social media most of the time that's why we're opening social media during studies ,No,1.0,It doesn't matter,No,No
16/12/2025 23:21:18,Male,Lahore,8.0,18-30,Employed,TikTok,"Entertainment/Memes, Educational/Informative",1-5 Hours,Always,Always,Check it after a few minutes,Free time ,3.0,1.0,"Not bed because I am like to fun alone,",0 (I just scroll),3.0,2.5–3.0,Because iam bored and when i feel alone then use it  to relax my brain.,Yes,2.0,It doesn't matter,No,No
16/12/2025 23:25:44,Female,Dera Ismail Khan ,4.0,18-30,Student,TikTok,"Entertainment/Memes, News/Politics, Educational/Informative",5-7,Always,Rarely,Check it after a few minutes,High status elite lifestyle of people,1.0,1.0,No friends no feel,0 (I just scroll),3.0,3.6–4.0,Mind relaxation ,No,1.0,It doesn't matter,No,No
16/12/2025 23:34:13,Male,Peshawar,4.0,18-30,Student,YouTube,"Entertainment/Memes, News/Politics, Educational/Informative",5-7,Often,Sometimes,Get annoyed but check it,i usually stuck in reels scrolling ,1.0,1.0,No one is there without social media except me,1-3 people,3.0,< 2.5,yes,Yes,1.0,I Feel Bad,No,No
16/12/2025 23:38:21,Female,Chitral ,3.0,18-30,Student,Whatsapp,"Entertainment/Memes, Educational/Informative, Friends/Family updates",7-10,Often,Often,Check it immediately,Comparing myself with others.,4.0,2.0,I feel lonely and sad.,0 (I just scroll),2.0,3.6–4.0,Because of my distracted mind ,Yes,1.0,I Feel Bad,No,No
17/12/2025 00:10:55,Male,Karak,2.0,18-30,Student,YouTube,"News/Politics, Educational/Informative",1-5 Hours,Sometimes,Rarely,Check it after a few minutes,Notifications,1.0,1.0,Doesn't matter at all,1-3 people,4.0,3.6–4.0,Sometimes ,No,1.0,It doesn't matter,No,No
17/12/2025 00:37:20,Female,Rawalpindi ,9.0,30-40,Unemployed,Instagram,"Entertainment/Memes, Lifestyle/Influencers, Friends/Family updates",7-10,Always,Sometimes,Check it after a few minutes,Lifestyle and travel diaries,5.0,3.0,Stress and unhappiness ,0 (I just scroll),5.0,3.1–3.5,Nothing,No,3.0,It doesn't matter,No,No
17/12/2025 00:59:12,Female,Quetta ,16.0,12-18,Student,TikTok,Lifestyle/Influencers,7-10,Always,Always,Check it immediately,Money ,5.0,5.0,Jealous ,4-10 people,5.0,2.5–3.0,Cause studying is no fun and I can't understand what's really written or the idea of the topic ,Yes,5.0,I Feel Bad,Yes,No
17/12/2025 02:33:40,Female,peshawar,8.0,18-30,Student,YouTube,Entertainment/Memes,1-5 Hours,Always,Always,Check it after a few minutes,urge to use it continuously ,4.0,1.0,feeling like they are having best life and I am stuck,1-3 people,5.0,3.6–4.0,just to stop worrying and for distraction from this,Yes,5.0,I Feel Bad,Yes,No
17/12/2025 02:42:42,Male,chitral ,12.0,18-30,Unemployed,YouTube,Educational/Informative,5-7,Sometimes,Often,Check it after a few minutes,The constant comparison and pressure to keep up with others’ curated lives on social media causes me the most stress.,5.0,5.0,Surprise ,More than 10 people,5.0,3.6–4.0,yes,No,1.0,I delete the post,Yes,No
17/12/2025 02:48:07,Male,Lower chitral ,5.0,18-30,Student,Whatsapp,Entertainment/Memes,7-10,Always,Always,Check it immediately,Different news,1.0,3.0,Not effect ,1-3 people,1.0,3.1–3.5,For chat gpt,No,1.0,I Feel Bad,Yes,No
17/12/2025 07:48:36,Male,Upper chitral ,1.0,18-30,Employed,YouTube,"Entertainment/Memes, News/Politics, Educational/Informative",5-7,Always,Sometimes,Check it immediately,People thought/opinion on post.,3.0,1.0,Missing that moment with them.,0 (I just scroll),3.0,3.1–3.5,To get have relaxation.,No,3.0,It doesn't matter,Yes,No
17/12/2025 07:53:37,Male,Islamabad,3.0,18-30,Student,Instagram,Entertainment/Memes,5-7,Always,Often,Check it immediately,"Dead bodies, conflicts, bad news",3.0,4.0,"I feel missing out. Feel like I am not capable enough, I have to do some hard work, and enjoy life. ",1-3 people,3.0,3.6–4.0,Unconditionally I open social media I don't know why,Yes,3.0,I Feel Bad,No,No
17/12/2025 08:43:09,Male,Peshawar ,2.5,18-30,Student,YouTube,News/Politics,7-10,Often,Often,Check it after a few minutes,I feel lonely ,1.0,1.0,Very good and emotional ,1-3 people,1.0,3.6–4.0,Messages ,No,1.0,It doesn't matter,Yes,No
17/12/2025 09:12:31,Female,Gilgit ,7.0,18-30,Student,Whatsapp,Friends/Family updates,7-10,Always,Sometimes,Check it after a few minutes,Comparison ,3.0,1.0,Annoyed and get hurt deeply ,4-10 people,3.0,3.1–3.5,For important notification ,Yes,1.0,I Feel Bad,No,No
17/12/2025 10:22:50,Male,Gilgit ,4.0,18-30,Student,YouTube,Entertainment/Memes,5-7,Often,Rarely,Get annoyed but check it,Loss of time and the content which we are looking some half badly influence our brain,3.0,1.0,I do not use Instagram or Facebook because I know if l will saw my friends they will showcase there achievements and universities and all that on social media so that is the reason l avoid to use these apps. And the one who use these apps always draw comparison and effects his or her mental wellbeing. ,0 (I just scroll),2.0,3.1–3.5,I often search any educational content when I get confused while studying any particular subject. ,No,1.0,It doesn't matter,Yes,No
17/12/2025 10:26:54,Male,Karachi ,4.0,18-30,Student,Instagram,"Entertainment/Memes, News/Politics, Educational/Informative",5-7,Often,Often,Check it after a few minutes,When you messaged someone and he or she doesn't reply back ,4.0,2.0,I feel really happy,More than 10 people,3.0,2.5–3.0,Its to tempting ,No,1.0,It doesn't matter,No,No
17/12/2025 10:40:16,Female,Rawalpindi ,5.0,18-30,Student,Instagram,"Entertainment/Memes, Educational/Informative",7-10,Sometimes,Rarely,Check it after a few minutes,Nothing ,1.0,1.0,I feel my time will come soon,1-3 people,2.0,3.6–4.0,I don't open it ,No,1.0,It doesn't matter,No,No
17/12/2025 13:01:45,Male,Peshawar,5.0,18-30,Student,Facebook,Lifestyle/Influencers,5-7,Always,Always,Check it immediately,Comparison ,5.0,3.0,stressful ,1-3 people,5.0,2.5–3.0,entertainment ,Yes,2.0,I Feel Bad,Yes,No
17/12/2025 13:13:22,Male,Islamabad ,8.0,18-30,Unemployed,Instagram,Entertainment/Memes,5-7,Always,Always,Check it immediately,Feeling inadequate after comparing myself to others online.,4.0,3.0,Left out and a bit insecure.,1-3 people,2.0,3.1–3.5,I get bored and check it,No,1.0,I Feel Bad,No,No
17/12/2025 13:26:17,Male,Parachinar ,4.0,18-30,Student,YouTube,"Educational/Informative, Lifestyle/Influencers",1-5 Hours,Rarely,Never,Check it after a few minutes,I Don't know ,4.0,2.0,Not good,0 (I just scroll),4.0,2.5–3.0,I don't know ,No,3.0,I Feel Bad,No,No
17/12/2025 13:27:13,Female,Peshawar ,4.0,18-30,Student,Instagram,"Entertainment/Memes, Educational/Informative, Lifestyle/Influencers, Friends/Family updates",1-5 Hours,Often,Sometimes,Check it after a few minutes,negative news / violent content,2.0,5.0,Sometimes don't care about it. But sometimes feel bad about it.,1-3 people,3.0,3.1–3.5,Just to relax or fresh my mind for few minutes.,Yes,1.0,It doesn't matter,No,No
17/12/2025 13:29:36,Female,Peshawar ,4.0,18-30,Employed,Instagram,"Entertainment/Memes, Educational/Informative, Lifestyle/Influencers",7-10,Always,Often,Get annoyed but check it,-,3.0,1.0,Not bothered ,0 (I just scroll),2.0,3.1–3.5,To check whether there is anything important or urgent ,Yes,1.0,It doesn't matter,No,No
17/12/2025 13:32:37,Female,Karachi ,6.0,18-30,Employed,TikTok,Entertainment/Memes,5-7,Always,Always,Check it after a few minutes,Drama ,5.0,1.0,Nothing else ,0 (I just scroll),3.0,3.6–4.0,Bcz of some important notification ,No,2.0,It doesn't matter,No,No
17/12/2025 14:10:36,Male,Islamabad ,3.0,30-40,Self-Employed,Facebook,"News/Politics, Educational/Informative, Lifestyle/Influencers, Friends/Family updates",5-7,Never,Always,Check it immediately,Literally ,1.0,5.0,Chal ,1-3 people,1.0,< 2.5,No,No,1.0,It doesn't matter,No,No
17/12/2025 14:19:25,Male,Islamabad ,2.0,18-30,Student,Instagram,"Entertainment/Memes, News/Politics, Educational/Informative, Lifestyle/Influencers, Friends/Family updates",7-10,Rarely,Rarely,Get annoyed but check it,Timewaste,3.0,3.0,I know my life is different and i totally accept it. And I push myself to work on myself even harder.,1-3 people,2.0,2.5–3.0,Don't know ,No,1.0,It doesn't matter,No,No
17/12/2025 14:45:44,Female,Chitral,9.0,18-30,Student,Whatsapp,Friends/Family updates,7-10,Always,Rarely,Check it after a few minutes,Unnecessary things ,1.0,3.0,Nothing yet,4-10 people,4.0,3.6–4.0,Usually open for searching related to studies,Yes,1.0,It doesn't matter,Yes,No
17/12/2025 15:02:00,Male,Peshawar ,2.0,18-30,Student,Facebook,Entertainment/Memes,5-7,Always,Often,Ignore it completely,I don't think that social media cause any anxiety or stress,1.0,1.0,I miss my friends ,0 (I just scroll),1.0,3.6–4.0,Any new update ,No,1.0,It doesn't matter,No,No
17/12/2025 15:37:07,Male,Karachi,6.0,18-30,Student,Facebook,"Entertainment/Memes, Educational/Informative, Lifestyle/Influencers, Friends/Family updates",7-10,Always,Sometimes,Check it immediately,slow Internet,3.0,2.0,I feel nothing,4-10 people,1.0,2.5–3.0,just for break purpose,No,1.0,It doesn't matter,No,No
17/12/2025 16:50:06,Male,Peshawar,7.0,18-30,Student,TikTok,"Entertainment/Memes, News/Politics, Educational/Informative, Lifestyle/Influencers, Friends/Family updates",1-5 Hours,Never,Always,Check it immediately,Illegal videos ,1.0,5.0,Amazing ,0 (I just scroll),5.0,3.6–4.0,Google ,No,4.0,I delete the post,Yes,Yes
17/12/2025 16:58:14,Male,Peshawar ,5.0,30-40,Employed,Facebook,"Entertainment/Memes, News/Politics, Educational/Informative, Lifestyle/Influencers, Friends/Family updates",7-10,Always,Always,Check it immediately,Negative content ,5.0,5.0,Missing ,0 (I just scroll),3.0,3.1–3.5,Yes,Yes,3.0,It doesn't matter,No,No
17/12/2025 19:58:46,Female,Islamabad ,4.0,18-30,Student,Instagram,"Entertainment/Memes, Lifestyle/Influencers, Friends/Family updates",5-7,Often,Rarely,Get annoyed but check it,Unknown numbers,1.0,1.0,Relief ,0 (I just scroll),2.0,3.1–3.5,stress release ,Yes,1.0,It doesn't matter,No,No
17/12/2025 20:02:42,Male,Peshawar ,1.0,12-18,Student,Instagram,"Entertainment/Memes, Educational/Informative",7-10,Sometimes,Never,Check it after a few minutes,Reels ,1.0,1.0,I don't care ,4-10 people,3.0,< 2.5,social media allows students to work together on projects and assignments at any time and from anywhere,No,1.0,It doesn't matter,Yes,No
17/12/2025 20:59:26,Female,Islamabad ,6.0,12-18,Student,Whatsapp,"Educational/Informative, Friends/Family updates",5-7,Always,Often,Check it immediately,It is addiction.,1.0,5.0,Jealous ,More than 10 people,3.0,3.1–3.5,YouTube ,Yes,1.0,It doesn't matter,No,No
17/12/2025 21:30:59,Male,Peshawar,8.0,18-30,Employed,Facebook,"Entertainment/Memes, Educational/Informative, Friends/Family updates",5-7,Always,Sometimes,Check it after a few minutes,Misuse and excessive use of social media ,2.0,1.0,Doesn't matter at all. ,4-10 people,1.0,3.1–3.5,"For some updates, notifications and messages related to my job ",No,1.0,It doesn't matter,Yes,No
17/12/2025 22:12:28,Female,Peshawar ,2.0,12-18,Student,YouTube,Educational/Informative,1-5 Hours,Never,Never,Get annoyed but check it,Reaction of people ,1.0,1.0,Feel sad but everyone has their own life style ,0 (I just scroll),5.0,3.6–4.0,YouTube ,No,2.0,I delete the post,No,No
17/12/2025 23:37:53,Female,Abbottabad ,3.0,18-30,Student,Whatsapp,Educational/Informative,5-7,Sometimes,Rarely,Check it after a few minutes, To much spend time with social media ,1.0,5.0, It's feels some time sad .,More than 10 people,3.0,2.5–3.0,Chat gpt ,No,3.0,It doesn't matter,No,No
17/12/2025 23:58:15,Female,Peshawar ,8.0,18-30,Student,Whatsapp,Educational/Informative,7-10,Sometimes,Sometimes,Check it after a few minutes,Any emotional Vedio ,3.0,2.0,Full happiness and enjoying ,4-10 people,3.0,2.5–3.0,Because useful and information is more than enough if someone want ,No,3.0,It doesn't matter,Yes,No
18/12/2025 00:08:47,Male,Karachi ,4.0,18-30,Student,TikTok,Entertainment/Memes,7-10,Always,Often,Ignore it completely,Nopes,1.0,3.0,Sad due to privacy ,1-3 people,3.0,3.1–3.5,For study purpose ,No,1.0,I Feel Bad,No,No
18/12/2025 07:19:39,Male,Peshawar,5.0,40+,Self-Employed,Facebook,"News/Politics, Educational/Informative, Lifestyle/Influencers",5-7,Often,Sometimes,Check it after a few minutes,Entertainment,1.0,2.0,Very bad,1-3 people,3.0,< 2.5,Hahbit,Yes,3.0,I Feel Bad,No,No
18/12/2025 07:52:33,Female,Nowshera,4.0,18-30,Student,Whatsapp,"Entertainment/Memes, Educational/Informative",7-10,Often,Often,Check it after a few minutes,Nothing ,3.0,5.0,Very sad 😢,0 (I just scroll),3.0,3.6–4.0,For relaxation ,Yes,2.0,It doesn't matter,Yes,No
18/12/2025 07:54:43,Female,Nowshera,4.0,18-30,Student,Whatsapp,"Entertainment/Memes, Educational/Informative",7-10,Often,Often,Check it after a few minutes,Nothing 😐,3.0,4.0,Sad,0 (I just scroll),3.0,3.6–4.0,For relaxation ,Yes,2.0,It doesn't matter,Yes,Yes
18/12/2025 11:58:29,Male,Chitral ,6.0,40+,Self-Employed,Facebook,Educational/Informative,5-7,Always,Rarely,Check it after a few minutes,Humiliation ,1.0,5.0,Pleasure ,More than 10 people,5.0,3.6–4.0,To get awake ,Yes,5.0,I delete the post,Yes,No
18/12/2025 13:49:41,Male,Peshawar,5.0,18-30,Student,Instagram,"Entertainment/Memes, Lifestyle/Influencers",5-7,Always,Sometimes,Check it immediately,Reels,3.0,3.0,Unhappy,0 (I just scroll),3.0,2.5–3.0,Bored or stress,Yes,1.0,It doesn't matter,No,No
18/12/2025 14:13:17,Male,Peshawar ,6.0,18-30,Student,Instagram,"Entertainment/Memes, News/Politics, Educational/Informative",5-7,Always,Always,Check it immediately,Reels,3.0,3.0,Sad,1-3 people,3.0,2.5–3.0,Refreshing ,Yes,3.0,I Feel Bad,No,No
18/12/2025 19:45:24,Female,Peshawar,2.0,12-18,Student,Whatsapp,Educational/Informative,7-10,Sometimes,Rarely,Check it after a few minutes,Bad videos,1.0,2.0,When I see my friends having fun without on social media then I feel very happy.,1-3 people,3.0,2.5–3.0,Purpose of study ,Yes,3.0,It doesn't matter,Yes,Yes
18/12/2025 20:33:28,Male,Peshawar ,16.0,18-30,Student,YouTube,Educational/Informative,1-5 Hours,Rarely,Never,Ignore it completely,"Tbh, Dont know these words ",1.0,5.0,Cant relate bro,1-3 people,5.0,3.6–4.0,10 seconds rest time to give brain reseting chance,No,2.0,It doesn't matter,Yes,No
18/12/2025 21:16:18,Male,Peshawar ,3.0,18-30,Employed,LinkedIn,"Educational/Informative, Lifestyle/Influencers, Friends/Family updates",1-5 Hours,Always,Rarely,Check it after a few minutes,The constant comparison with others’ lives and the pressure to appear perfect causes me the most stress and anxiety on social media,2.0,1.0,"I feel left out, sad, and sometimes lonely when I see my friends having fun without me on social media.",More than 10 people,2.0,3.6–4.0,"I usually open social media while studying because I get distracted easily and use it as a quick break to relax, but it often turns into wasting time",No,1.0,It doesn't matter,Yes,No
18/12/2025 21:32:04,Female,Peshawar ,3.0,18-30,Student,Snapchat,Entertainment/Memes,7-10,Always,Sometimes,Check it after a few minutes,News ,1.0,1.0,I feel nothing ,1-3 people,5.0,3.1–3.5,Because of so much stress,Yes,1.0,I Feel Bad,No,No
18/12/2025 21:39:50,Male,peshawar,14.0,18-30,Student,Whatsapp,Friends/Family updates,1-5 Hours,Sometimes,Always,Check it after a few minutes,memories,2.0,3.0,i feel very happy but littel sad because i was not with him.....,1-3 people,2.0,2.5–3.0,yes,No,2.0,It doesn't matter,Yes,No
18/12/2025 22:08:14,Female,peshawar,8.0,18-30,Student,TikTok,Lifestyle/Influencers,1-5 Hours,Always,Always,Ignore it completely,i watch skincare/selfcare stuff alot so it often makes me unconsiously insecure and inorder to fill the void i focus on myself alot which i take it positively it pushes me to betterment,3.0,1.0,it doesnt matter if they’re having fun without me but if im going through a boredom phase yeah then i feel left out but its rare as i prefer being at home ,1-3 people,2.0,3.1–3.5,in break i usually scroll nd get fully invested in reels or tiktok the other time i dont even know nd endup watching phone fr half or even an hour its just that all the interesting stuff pops out right whenever im studying so i cant resist but yeah i keep my notifications off when im serious about studying,No,1.0,It doesn't matter,No,No
18/12/2025 22:11:25,Female,peshawar,2.0,18-30,Employed,Instagram,Entertainment/Memes,5-7,Always,Rarely,Check it after a few minutes,nothing,2.0,1.0,no feelings,0 (I just scroll),1.0,3.1–3.5,i am bored,No,1.0,It doesn't matter,No,No
20/12/2025 15:03:01,Female,Gilgit,5.0,18-30,Student,Whatsapp,Friends/Family updates,1-5 Hours,Often,Sometimes,Check it after a few minutes,When unknown  person text or call me at that time i become stress and my mind distract from the studies as well...,3.0,3.0," While having friends on social media in fun without me seems disappointed and boring. Sometime there posts, outing pictures and vedios bring a curiosity and like a regret that i wish i could do the same. ",4-10 people,4.0,3.1–3.5, some time it is important to know about tha updates regarding admissions and scholarship as well and also i become a habbitual of using..,No,3.0,It doesn't matter,Yes,No
10/01/2026 22:49:14,Male,Gilgit ,6.0,18-30,Student,YouTube,Educational/Informative,1-5 Hours,Sometimes,Never,Ignore it completely,Wast of time ,4.0,3.0,By paying ,0 (I just scroll),5.0,< 2.5,For study,No,3.0,I Feel Bad,No,No
